Time,Value
2022-12-12 00:00,300100
2022-12-12 01:00,300102
2022-12-12 02:00,300102
2022-12-12 03:00,300103
2022-12-12 04:00,300103
2022-12-12 05:00,300103
2022-12-12 06:00,300103
2022-12-12 07:00,300194
2022-12-12 08:00,300314
2022-12-12 09:00,300324
2022-12-12 10:00,300327
2022-12-12 11:00,300327
2022-12-12 12:00,300328
2022-12-12 13:00,300339
2022-12-12 14:00,300359
2022-12-12 15:00,300359
2022-12-12 16:00,300360
2022-12-12 17:00,300368
2022-12-12 18:00,300390
2022-12-12 19:00,300394
2022-12-12 20:00,300395
2022-12-12 21:00,300410
2022-12-12 22:00,300413
2022-12-12 23:00,300512
2022-12-13 00:00,300514
2022-12-13 01:00,300515
2022-12-13 02:00,300516
2022-12-13 03:00,300516
2022-12-13 04:00,300516
2022-12-13 05:00,300516
2022-12-13 06:00,300519
2022-12-13 07:00,300524
2022-12-13 08:00,300726
2022-12-13 09:00,300736
2022-12-13 10:00,300746
2022-12-13 11:00,300747
2022-12-13 12:00,300754
2022-12-13 13:00,300779
2022-12-13 14:00,300779
2022-12-13 15:00,300790
2022-12-13 16:00,300791
2022-12-13 17:00,300794
2022-12-13 18:00,300815
2022-12-13 19:00,300817
2022-12-13 20:00,300819
2022-12-13 21:00,300819
2022-12-13 22:00,300829
2022-12-13 23:00,300899
2022-12-14 00:00,300903
2022-12-14 01:00,300915
2022-12-14 02:00,300915
2022-12-14 03:00,300915
2022-12-14 04:00,300915
2022-12-14 05:00,300915
2022-12-14 06:00,300916
2022-12-14 07:00,300936
2022-12-14 08:00,301029
2022-12-14 09:00,301107
2022-12-14 10:00,301120
2022-12-14 11:00,301122
2022-12-14 12:00,301122
2022-12-14 13:00,301124
2022-12-14 14:00,301157
2022-12-14 15:00,301161
2022-12-14 16:00,301161
2022-12-14 17:00,301166
2022-12-14 18:00,301169
2022-12-14 19:00,301196
2022-12-14 20:00,301199
2022-12-14 21:00,301205
2022-12-14 22:00,301289
2022-12-14 23:00,301304
2022-12-15 00:00,301307
2022-12-15 01:00,301307
2022-12-15 02:00,301308
2022-12-15 03:00,301309
2022-12-15 04:00,301309
2022-12-15 05:00,301309
2022-12-15 06:00,301311
2022-12-15 07:00,301388
2022-12-15 08:00,301489
2022-12-15 09:00,301519
2022-12-15 10:00,301535
2022-12-15 11:00,301535
2022-12-15 12:00,301535
2022-12-15 13:00,301544
2022-12-15 14:00,301572
2022-12-15 15:00,301575
2022-12-15 16:00,301576
2022-12-15 17:00,301582
2022-12-15 18:00,301601
2022-12-15 19:00,301608
2022-12-15 20:00,301610
2022-12-15 21:00,301616
2022-12-15 22:00,301630
2022-12-15 23:00,301721
2022-12-16 00:00,301722
2022-12-16 01:00,301722
2022-12-16 02:00,301723
2022-12-16 03:00,301723
2022-12-16 04:00,301723
2022-12-16 05:00,301724
2022-12-16 06:00,301725
2022-12-16 07:00,301733
2022-12-16 08:00,301800
2022-12-16 09:00,301807
2022-12-16 10:00,301811
2022-12-16 11:00,301811
2022-12-16 12:00,301812
2022-12-16 13:00,301812
